Date Posted,Source,Headline,Preview,Link,PTR Headline Sentiment,Flair Headline Outlook,Flair Headline Score,PTR Preview Sentiment,Flair Preview Outlook,Flair Preview Score
11/21/2024,BBC,"UK visa application centres in Nigeria: UK commercial partner for visa application, wetin you need know",https://www.bbc.com/pidgin/articles/c0lpyppp6wyo,"""If your visa application dey affected, you no need to panic, di change no go affect di decision on your application or how long e go take...",0.524,POSITIVE,0.964,0.506,POSITIVE,0.665
11/17/2024,GOV.UK,Monthly monitoring of entry clearance visa applications,https://www.gov.uk/government/statistics/monthly-entry-clearance-visa-applications/monthly-monitoring-of-entry-clearance-visa-applications,The application data in this release provides statistics on numbers of people with an intention to enter the UK for work and study reasons.,0.502,POSITIVE,0.949,0.506,NEGATIVE,0.771
11/21/2024,London Evening Standard,"Rise in visa salary threshold for skilled workers to £38,700 'to cost Britain £25bn over ten years'",https://www.standard.co.uk/news/politics/visa-skilled-workers-uk-threshold-salary-rise-b1194629.html,The Oxford Migration Observatory highlighted the predicted huge bill from the controversial visa reform.,0.52,NEGATIVE,0.905,0.519,NEGATIVE,0.855
11/22/2024,Euronews,"China extends visa-free entry to Bulgaria, Romania, Malta and Japan",https://www.euronews.com/travel/2024/11/22/china-aims-to-boost-tourism-by-giving-visa-free-entry-to-these-five-european-countries,Which European countries can travel to China visa-free? Citizens of 38 European countries can stay in China without a visa for up to 30 days.,0.519,NEGATIVE,0.944,0.52,NEGATIVE,0.923
11/21/2024,The Telegraph,‘Why we bought a golden visa in Greece’,https://www.telegraph.co.uk/money/property/why-bought-golden-visa-greece/,High-earners moving abroad can capitalise on huge tax advantages – and claw back EU status.,0.51,POSITIVE,0.586,0.518,POSITIVE,0.741
11/24/2024,Euro Weekly News,German Visa boom 2025,https://euroweeklynews.com/2024/11/24/german-visa-boom-2025/,Germany opens doors wider for skilled workers: The visa boom is here. Germany is rolling out the welcome mat for skilled workers from...,0.52,POSITIVE,0.625,0.517,NEGATIVE,0.706
11/24/2024,IMI Daily,Why There’s Still Hope for Spain’s Golden Visa,https://www.imidaily.com/europe/why-theres-still-hope-for-spains-golden-visa/,"Pierre-Marc Lecompte: ""Valencia's streets are still drying out after severe flooding, and Spain's political climate isn't much calmer""",0.508,POSITIVE,0.592,0.515,POSITIVE,0.507
11/24/2024,TravelMole,More European countries get visa free travel to China,https://www.travelmole.com/news/more-european-countries-get-visa-free-travel-to-china/,"Bulgaria, Romania, Malta, Croatia, Montenegro, North Macedonia, Estonia and Latvia added to China's visa free scheme.",0.53,NEGATIVE,0.921,0.528,NEGATIVE,0.848
11/21/2024,The Guardian,EU migration chief raises alarm over Russian visas amid security fears,https://www.theguardian.com/world/2024/nov/21/eu-migration-chief-raises-alarm-over-russian-visas-amid-security-fears,"European Union may need to tighten visa policies in light of growing security threats, warns EU chief.",0.511,NEGATIVE,0.996,0.519,NEGATIVE,0.907
11/21/2024,The Economist,Why is it so hard for Indians to get a visa?,https://www.economist.com/asia/2024/11/21/why-is-it-so-hard-for-indians-to-get-a-visa,"Applying for a visa to Europe's border-free Schengen zone can be a humbling experience. “One must set aside ego,” says an applicant from...",0.509,NEGATIVE,0.984,0.515,NEGATIVE,0.996
11/24/2024,GlobeNewswire,Visa Inc. Shareholder Alert: Robbins LLP Reminds Investors,https://www.globenewswire.com/news-release/2024/11/24/2986299/0/en/Visa-Inc-Shareholder-Alert-Robbins-LLP-Reminds-Investors-of-the-Securities-Class-Action-Lawsuit-Pending-Against-the-Company.html,Robbins LLP is Investigating Allegations that Visa Inc. (V) Misled Investors Regarding its Monopolization of the Debt Market ...,0.514,POSITIVE,0.888,0.549,NEGATIVE,0.957
11/20/2024,The PIE News,NZ announces changes to PSW visa for PG diploma students,https://thepienews.com/nz-announces-changes-to-psw-visa-for-pg-dipolma-students/,"In a move to offer more opportunities for international students, New Zealand has announced significant updates to its Post Study Work Visa...",0.502,NEGATIVE,0.878,0.505,NEGATIVE,0.958
11/22/2024,The New Arab,Scottish government demands Gaza visa scheme for Palestinians,https://www.newarab.com/news/scottish-government-demands-gaza-visa-scheme-palestinians,The Scottish government is calling for a visa scheme for Palestinians fleeing Gaza that will enable them to reunite with loved ones in the...,0.504,NEGATIVE,0.998,0.513,NEGATIVE,0.957
11/22/2024,SchengenVisaInfo.com,Spain to Extend Job Seeker Visa Validity From 3 to 12 Months,https://schengen.news/spain-to-extend-job-seeker-visa-validity-from-3-to-12-months/,Spain will extend the validity of the job seeker visa from the current three to 12 months. The new one-year validity period will offer...,0.516,NEGATIVE,0.893,0.52,NEGATIVE,0.917
11/19/2024,Times Higher Education,Visa curbs drive ‘historic change’ in global student flows,https://www.timeshighereducation.com/news/visa-curbs-drive-historic-change-global-student-flows,"Visa restrictions across major anglophone sectors are driving a “historic change” in international student mobility, with many would-be...",0.513,POSITIVE,0.979,0.518,NEGATIVE,0.735
10/27/2024,GOV.UK,New UK visa application supplier in Ghana from 22 October 2024,https://www.gov.uk/government/news/new-uk-visa-application-supplier-in-ghana-from-22-october-2024,"New UK visa application supplier in Ghana from 22 October 2024. Visa application centre provider changing to VSFGlobal, offering faster service...",0.573,POSITIVE,0.989,0.552,NEGATIVE,0.871
11/22/2024,Asia Financial,China Expands Visa-Free Entry to Nine More Countries – AP,https://www.asiafinancial.com/china-expands-visa-free-entry-to-nine-more-countries-ap,Beijing is opening its doors wider to boost its economy; citizens from nine more countries will be able to travel to China for visa-free...,0.539,NEGATIVE,0.845,0.53,NEGATIVE,0.967
11/22/2024,SchengenVisaInfo.com,"EU Needs to Tighten Visa Policies for Russians Amid Growing Security Fears, EU Migration Chief Says",https://schengen.news/eu-needs-to-tighten-visa-policies-for-russians-amid-growing-security-fears-eu-migration-chief-says/,"EU migration chief wants the EU to issue fewer visas to Russian nationals, as the zone is increasingly dealing with security threats.",0.519,NEGATIVE,0.972,0.521,NEGATIVE,0.875
11/24/2024,Travel And Tour World,"Egypt tourism industry is surging with visa free travel to 112 countries including USA, Saudi Arabia, Brazil, UK, Australia and France",https://www.travelandtourworld.com/news/article/egypt-tourism-industry-is-surging-with-visa-free-travel-to-112-countries-including-usa-saudi-arabia-brazil-uk-australia-and-france/,"Egypt, as of November 2024, continues to shine as a premier global travel destination, attracting visitors from 112 visa-free countries and...",0.52,POSITIVE,0.99,0.521,NEGATIVE,0.658
11/24/2024,Times of India,New Zealand updates visa policies for students: Post-study work opportunities expanded,https://timesofindia.indiatimes.com/travel/travel-news/new-zealand-updates-visa-policies-for-students-post-study-work-opportunities-expanded/articleshow/115621338.cms,"New Zealand has revamped its Post-Study Work Visa rules, making it easier for postgraduate students to gain work experience after graduation...",0.544,POSITIVE,0.979,0.531,NEGATIVE,0.615
10/27/2024,Smith Stone Walters,Changes to UK visa application services,https://smithstonewalters.com/news/changes-to-uk-visa-application-services,"Applications made inside the UK. On 15 October 2024, the commercial partner for UK Visa and Citizenship Application Services will change from...",0.584,POSITIVE,0.627,0.561,NEGATIVE,0.908
08/06/2024,Royal Society,Summary of visa costs analysis (2024),https://royalsociety.org/news-resources/publications/2024/summary-visa-costs-analysis-2024/,2024 update to the Royal Society's 2019 and 2021 analyses of upfront immigration costs in the UK and 17 other leading science nations.,0.516,NEGATIVE,0.546,0.518,NEGATIVE,0.706
11/22/2024,"Fragomen, Del Rey, Bernsen & Loewy LLP",United Arab Emirates: Golden Visa for Education Professionals Commences in Ras Al Khaimah,https://www.fragomen.com/insights/united-arab-emirates-golden-visa-for-education-professionals-commences-in-ras-al-khaimah.html,The Emirate of Ras Al Khaimah has extended eligibility for its Golden Visa to private sector education professionals who are able to...,0.505,POSITIVE,0.957,0.506,POSITIVE,0.975
08/29/2024,Smith Stone Walters,Immigration in Numbers: Latest UK visa statistics,https://smithstonewalters.com/news/immigration-in-numbers-latest-uk-visa-statistics,"Immigration in Numbers: Latest UK visa statistics ... A total of 1.16 million UK visas were granted for work, study or family reasons in the year...",0.513,NEGATIVE,0.784,0.52,NEGATIVE,0.859
11/22/2024,China Daily,China to apply visa-free policy to nine more countries: spokesperson,https://www.chinadaily.com.cn/a/202411/22/WS67406c30a310f1265a1cf21a.html,"BEIJING -- China has decided to apply the visa-free policy to nine more countries on a trial basis, a foreign ministry spokesperson said on...",0.537,NEGATIVE,0.774,0.506,NEGATIVE,0.682
11/20/2024,SchengenVisaInfo.com,Greece Seeks to Continue Visa-On-Arrival Program For Turkish Nationals in 2025,https://schengen.news/greece-seeks-to-continue-visa-on-arrival-program-for-turkish-nationals-in-2025/,"Greek authorities are planning to extend the visa-on-arrival program for Turkish nationals, which will end by the end of this year.",0.516,NEGATIVE,0.996,0.519,NEGATIVE,0.991
11/23/2024,Euro Weekly News,China expands visa-free policy to 9 more countries,https://euroweeklynews.com/2024/11/23/china-expands-visa-free-policy-to-9-more-countries/,"China's Foreign Ministry has announced a significant expansion to its visa-free policy, adding nine new countries to the programme,...",0.534,NEGATIVE,0.695,0.528,NEGATIVE,0.926
11/22/2024,AFP Fact Check,Trump's election speech video altered to claim visa ban on Nigerians,https://factcheck.afp.com/doc.afp.com.36MX9QQ,"In 2020, Nigeria was among five countries targeted by a travel ban policy under the US administration of Donald Trump.",0.503,NEGATIVE,1.0,0.511,POSITIVE,0.898
11/23/2024,China Daily - Global Edition,Visa-free entry coming for more countries,http://global.chinadaily.com.cn/a/202411/23/WS67411f92a310f1265a1cf2c9.html,"China announced on Friday the extension of its visa-exemption policy to nine more countries, including Bulgaria, Romania, Croatia,...",0.516,NEGATIVE,0.553,0.524,NEGATIVE,0.859
11/24/2024,PR Newswire,V Investors Have Opportunity to Lead Visa Inc. Securities Class Action First Filed by the Rosen Law Firm,https://www.prnewswire.com/news-releases/v-investors-have-opportunity-to-lead-visa-inc-securities-class-action-first-filed-by-the-rosen-law-firm-302314791.html,"PRNewswire/ -- Why: Rosen Law Firm, a global investor rights law firm, announces it has filed a class action lawsuit on behalf of purchasers...",0.521,POSITIVE,0.842,0.521,NEGATIVE,0.899
11/22/2024,SchengenVisaInfo.com,"Nationals of Bulgaria, Croatia & 4 Other EU Countries Gain Visa-Free Entry to China From November 30",https://schengen.news/nationals-of-bulgaria-croatia-4-other-eu-countries-gain-visa-free-entry-to-china-from-november-30/,"Passport holders of Bulgaria, Croatia, Estonia, Latvia, Malta, and Romania will be eligible for visa-free entry to China from November 30,...",0.526,NEGATIVE,0.951,0.526,NEGATIVE,0.966
11/24/2024,BizzBuzz,Schengen visa update: Romania and Bulgaria set to join Schengen area in January 2025,https://www.bizzbuzz.news/international/schengen-visa-update-romania-and-bulgaria-set-to-join-schengen-area-in-january-2025-1343291,"In a significant development for European travel, Romania and Bulgaria are poised to become full members of the Schengen Area by January...",0.522,NEGATIVE,0.99,0.523,NEGATIVE,0.868
09/12/2024,IFS | Institute for Fiscal Studies,Student visas down by a sixth will cause challenges for some universities,https://ifs.org.uk/articles/student-visas-down-sixth-will-cause-challenges-some-universities,The latest figures on student visa applications – down by one-sixth compared with last year – suggest that UK universities may no longer be able to rely on...,0.498,NEGATIVE,0.94,0.504,NEGATIVE,0.973
11/24/2024,China Daily - Global Edition,Italian executive appreciates 144-hour visa-free transit policy,https://global.chinadaily.com.cn/a/202411/24/WS6742d234a310f1265a1cf413.html,"On Nov 23, Simone Trazzi, chief operating officer and executive director of UFI Group Asia Pacific Region, was awarded the 2024 Shanghai...",0.506,POSITIVE,0.995,0.524,POSITIVE,0.502
11/3/2024,"Fragomen, Del Rey, Bernsen & Loewy LLP",TLSContact UK Visa Application Centres: New System Impacts on Applicants,https://www.fragomen.com/insights/tlscontact-uk-visa-application-centres-new-system-impacts-on-applicants.html,UK Visas and Immigration (UKVI) has recently changed its commercial partner that handles the Visa Application Centres (VACs) within the UK.,0.561,POSITIVE,0.992,0.54,POSITIVE,0.894
11/23/2024,Business Wire,V INVESTOR NOTICE: Robbins Geller Rudman & Dowd LLP Announces that Visa Inc. Investors with Substantial Losses Have Opportunity to Lead Class Action Lawsuit,https://www.businesswire.com/news/home/20241122808276/en/V-INVESTOR-NOTICE-Robbins-Geller-Rudman-Dowd-LLP-Announces-that-Visa-Inc.-Investors-with-Substantial-Losses-Have-Opportunity-to-Lead-Class-Action-Lawsuit,"The suit alleges defendants issued false statements concerning Visa business and prospects, resulting in its stock trading at inflated...",0.508,NEGATIVE,0.985,0.511,NEGATIVE,0.993
09/10/2024,GOV.UK,UK to expand digital travel to more visitors,https://www.gov.uk/government/news/uk-to-expand-digital-travel-to-more-visitors,"By April 2025, all visitors who do not need a visa will need an electronic travel authorisation (ETA) to travel to the UK.",0.538,POSITIVE,0.995,0.532,NEGATIVE,0.58
11/23/2024,IMI Daily,Spanish Govt Approves 68% Fewer Golden Visas as It Prepares to Scrap Program,https://www.imidaily.com/europe/spanish-govt-approves-68-fewer-golden-visas-as-it-prepares-to-scrap-program/,"Spain's golden visa approvals have dropped dramatically in 2024, with projected year-end numbers falling to 936—less than one-third of...",0.506,NEGATIVE,1.0,0.512,NEGATIVE,0.995
11/24/2024,China Daily,Italian executive appreciates 144-hour visa-free transit policy,https://www.chinadaily.com.cn/a/202411/24/WS6742d234a310f1265a1cf413.html,"The media could not be loaded, either because the server or network failed or because the format is not supported. Captions Settings Dialog.",0.506,POSITIVE,0.995,0.506,NEGATIVE,0.58
11/21/2024,ITVX,Demand for golden visas from US citizens spikes in Europe following Trump win | ITV News,https://www.itv.com/news/2024-11-21/demand-for-golden-visas-from-us-citizens-spikes-in-europe-following-trump-win,"Here, ITV News explains why wealthy Americans are making the move and what the golden visas are which are allowing them to do so.",0.532,NEGATIVE,0.752,0.529,NEGATIVE,0.962
08/29/2024,Smith Stone Walters,UKVI launches new Super Priority Visa service in Hong Kong,https://smithstonewalters.com/news/ukvi-launches-new-super-priority-visa-service-in-hong-kong,Customers who choose to utilise the new SPV service in Hong Kong will usually receive a decision on their UK visa application by the end of the...,0.57,POSITIVE,0.91,0.558,POSITIVE,0.87
11/21/2024,Daily Express,Prince Harry gets major visa boost as US Government lashes out at 'unfounded speculation',https://www.express.co.uk/news/royal/1978942/prince-harry-us-visa-latest,Prince Harry has faced months of uncertainty over his US visa after a think tank sought to challenge its validity.,0.513,POSITIVE,0.609,0.526,POSITIVE,0.602
11/21/2024,SchengenVisaInfo.com,Spain Has Issued 780 Golden Visas So Far in 2024,https://schengen.news/spain-has-issued-780-golden-visas-so-far-in-2024/,"Around 780 golden visas were issued by Spain to foreign nationals from the beginning of the year until the end of October, according to...",0.496,POSITIVE,0.957,0.508,POSITIVE,0.604
11/18/2024,The Telegraph,Britain will not cave into Indian demands to ease visa restrictions as trade talks restart,https://www.telegraph.co.uk/politics/2024/11/18/britain-will-not-cave-indian-demands-ease-visa-restrictions/,Sir Keir Starmer is eager to resume negotiations but says a deal must be rooted in the UK national interest.,0.509,NEGATIVE,0.875,0.512,NEGATIVE,0.96
11/24/2024,Gujarat Samachar,Spain to extend validity of job seeker visa from 3 months to 12,https://english.gujaratsamachar.com/news/nri-news/spain-to-extend-validity-of-job-seeker-visa-from-3-months-to-12,"Amid the increasing uncertainty of visas for Indians in countries including Canada, the US, and Australia, Spain has announced extending the...",0.516,NEGATIVE,0.91,0.524,NEGATIVE,0.99
11/22/2024,Travel And Tour World,Qatari Citizens Begin Visa-Free US Journeys With Ministry Of Interior’s New ESTA,https://www.travelandtourworld.com/news/article/qatari-citizens-begin-visa-free-us-journeys-with-ministry-of-interiors-new-esta/,"Qatar launches ESTA for visa-free US travel. The Ministry of Interior's new system starts Nov 22, easing entry for Qatari nationals.",0.543,POSITIVE,0.809,0.536,POSITIVE,0.799
11/22/2024,Kyodo News+ | Japan's leading news agency.,China to allow 30-day visa exemption for Japan visitors from Nov. 30,https://english.kyodonews.net/news/2024/11/5febc4d2e71c-update1-china-to-resume-unilateral-visa-exemption-for-japan-travelers.html,"China says it will restart its unilateral visa-free arrangement for short-term Japanese visitors on Nov. 30, allowing stays of up to 30 days...",0.529,NEGATIVE,0.992,0.544,NEGATIVE,0.992
10/27/2024,Financial Times,"UK visa process for AI experts should be streamlined, says government adviser",https://www.ft.com/content/4ec7a942-97c0-4e0f-9c9a-9fbec1506bbf,"The proposal to ease the visa process for overseas AI experts is likely to face some pushback from the Home Office, given the government's...",0.558,NEGATIVE,0.969,0.506,POSITIVE,0.903
11/19/2024,Yahoo Finance,Visa (V) Plunged as DOJ Sued it for Monopoly,https://finance.yahoo.com/news/visa-v-plunged-doj-sued-151200774.html,"Bronte Capital, an investment management company, released its “Amalthea Fund” third-quarter 2024 investor letter.",0.499,NEGATIVE,0.999,0.511,NEGATIVE,0.826
11/20/2024,CNN,Political and social division is driving interest in ‘golden visas’,https://www.cnn.com/2024/11/20/business/golden-visas-americans-trump-election/index.html,"Europe could soon be welcoming a wave of well-heeled Americans, as Democratic voters facing the prospect of another Donald Trump presidency...",0.509,POSITIVE,0.944,0.53,POSITIVE,0.551
11/20/2024,CNN,Political and social division is driving interest in ‘golden visas’,https://www.cnn.com/2024/11/20/business/golden-visas-americans-trump-election/index.html,"Europe could soon be welcoming a wave of well-heeled Americans, as Democratic voters facing the prospect of another Donald Trump presidency...",0.509,POSITIVE,0.944,0.53,POSITIVE,0.551
11/23/2024,Times of India,Schengen visa holders can now explore two more countries in Europe; find out details here,https://timesofindia.indiatimes.com/travel/travel-news/schengen-visa-holders-can-now-explore-two-more-countries-in-europe-find-out-details-here/articleshow/115600666.cms,Romania and Bulgaria are on track to gain full Schengen Area membership by January 2025. Austria has lifted its opposition after an...,0.528,POSITIVE,0.918,0.521,POSITIVE,0.724
11/24/2024,Greek City Times,China Opens Doors To Tourism: Visa-Free Travel For 38 European Countries And More,https://greekcitytimes.com/2024/11/25/china-opens-doors-to-tourism-visa-free-travel-for-38-european-countries-and-more/,"China welcomes the world! Visa-free travel expanded to 38 European countries and more, starting November 30, 2024.",0.522,POSITIVE,0.994,0.52,POSITIVE,0.687
11/22/2024,The Economic Times,"New Zealand revises Post-Study Work Visa rules, eases pathway for international students",https://m.economictimes.com/nri/work/new-zealand-revises-post-study-work-visa-rules-eases-pathway-for-international-students/articleshow/115559976.cms,New Zealand has made it easier for international students to work after graduation. Students with a 30-week postgraduate diploma can now get...,0.541,POSITIVE,0.994,0.549,POSITIVE,0.907
11/23/2024,Travel And Tour World,Dubai Introduces Mandatory Pre-Verification for Faster Visa Approvals: Here Are the New Updates You Need to Know,https://www.travelandtourworld.com/news/article/dubai-introduces-mandatory-pre-verification-for-faster-visa-approvals-here-are-the-new-updates-you-need-to-know/,"Dubai has introduced significant changes to its tourist visa application process, requiring travelers to meet stricter documentation...",0.548,POSITIVE,0.952,0.539,POSITIVE,0.863
07/26/2024,BVA - British Veterinary Association,Skilled worker visa changes: what it means for vets,https://www.bva.co.uk/news-and-blog/blog-article/skilled-worker-visa-changes-what-it-means-for-vets/,A new salary threshold for overseas vets entering the UK was introduced. BVA Senior Vice President Malcolm Morley discusses these changes and the implications...,0.5,POSITIVE,0.768,0.513,NEGATIVE,0.744
11/21/2024,eKathimerini.com,Greece a golden visa destination for Americans after Trump victory,https://www.ekathimerini.com/politics/foreign-policy/1254079/greece-a-golden-visa-destination-for-americans-after-trump-victory/,A notable number of American citizens dissatisfied with Donald Trump's recent election victory are considering relocation to Europe through...,0.501,POSITIVE,0.996,0.506,NEGATIVE,0.563
11/23/2024,Tehran Times,Iranian students released following visa center clash at Kazan University,https://www.tehrantimes.com/news/506663/Iranian-students-released-following-visa-center-clash-at-Kazan,"TEHRAN – Two Iranian students detained during an incident at Kazan Federal University have been released, the Iranian Consulate General in...",0.507,NEGATIVE,0.854,0.515,NEGATIVE,0.966
11/22/2024,IMI Daily,Legislative Analysis: Spain’s Golden Visa Termination Timeline,https://www.imidaily.com/europe/legislative-analysis-spains-golden-visa-termination-timeline/,Dr Jacinto Soler-Matutes anticipates closure of Spain's Golden Visa program in May 2025 and warns of costly mistakes for potential...,0.509,NEGATIVE,0.746,0.515,NEGATIVE,0.55
11/23/2024,Times of India,Dubai tightens tourist visa rules: Hotel bookings and return ticket mandatory,https://timesofindia.indiatimes.com/travel/travel-news/dubai-tightens-tourist-visa-rules-hotel-bookings-and-return-ticket-mandatory/articleshow/115598411.cms,"Dubai has implemented new tourist visa regulations, requiring travelers to provide confirmed hotel bookings and return flight tickets.",0.505,POSITIVE,0.919,0.509,NEGATIVE,0.688
11/18/2024,SchengenVisaInfo.com,What Is Portugal’s New Solidarity Golden Visa & How Will It Work?,https://schengen.news/what-is-portugals-new-solidarity-golden-visa-how-will-it-work/,Portugal plans to introduce the new Solidarity Golden Visa. The new option added to the Golden Visa Program would contribute to social...,0.572,POSITIVE,0.95,0.557,POSITIVE,0.976
10/27/2024,NFUonline,Government confirms Seasonal Worker visa route for 2025,https://www.nfuonline.com/updates-and-information/seasonal-workers-scheme-visa-allocation-confirmed/,"The NFU has welcomed confirmation from the government on the seasonal worker visa allocation, but has warned that a long-term scheme is...",0.507,POSITIVE,0.602,0.503,NEGATIVE,0.933
08/15/2024,Smith Stone Walters,Sharp decline in UK work and study visas following rule changes,https://smithstonewalters.com/news/sharp-decline-in-uk-work-and-study-visas-following-rule-changes,"Students. In January 2024, new rules were introduced to prevent international students on sponsored study visas from bringing dependant family...",0.509,NEGATIVE,0.999,0.516,NEGATIVE,0.996
11/23/2024,Argophilia Travel News,China Expands Visa-free Travel to 7 Eastern European Countries,https://www.argophilia.com/news/china/238114/,"China announced plans to expand visa-free travel to nine additional countries, including seven from Eastern Europe: Bulgaria, Croatia,...",0.532,NEGATIVE,0.833,0.535,NEGATIVE,0.516
03/28/2024,GOV.UK,Global Talent visa evaluation: Wave 2 report,https://www.gov.uk/government/publications/global-talent-visa-evaluation-wave-2-report/global-talent-visa-evaluation-wave-2-report,"Visa holders generally viewed the Global Talent visa extremely positively, with 98% stating they would recommend it to other (potential) leaders...",0.529,NEGATIVE,0.797,0.524,POSITIVE,0.586
11/24/2024,Babushahi,Spain extends 'job seeking' visa validity to tackle labour shortage,https://www.babushahi.com/world-news.php?id=195185&headline=Spain-extends-%27job-seeking%27-visa-validity-to-tackle-labour-shortage,"Spain extends 'job seeking' visa validity to tackle labour shortage. Harvinder Kaur. Chandigarh, November 24, 2024: To address the concern...",0.502,NEGATIVE,0.503,0.515,NEGATIVE,0.926
11/22/2024,VisaGuide.World,China to Permit Visa-Free Entry to Nationals of 9 More Countries From November 30,https://visaguide.world/news/china-to-permit-visa-free-entry-to-nationals-of-9-more-countries-from-november-30/,China will permit nationals of nine more countries to enter without visas until the end of 2025. The decision is expected to tighten...,0.527,NEGATIVE,0.995,0.535,NEGATIVE,0.978
11/24/2024,Insider Monkey,Visa Inc. (V): $9.6 Billion Revenue and 12% Growth in Warren Buffett’s Portfolio,https://www.insidermonkey.com/blog/visa-inc-v-9-6-billion-revenue-and-12-growth-in-warren-buffetts-portfolio-1396604/,"We recently published a list of Warren Buffett's 10 Longest-Held Stocks. In this article, we are going to take a look at where Visa Inc.",0.554,POSITIVE,0.995,0.539,POSITIVE,0.56
11/22/2024,AP News,China is expanding visa-free entry to more countries in bid to boost economy,https://apnews.com/article/china-visa-free-entry-travel-7d8bdeb7d1d2eda702d519abb4162681,China is going to expand visa-free entry to citizens of nine more countries as it seeks to boost tourism and business travel to help revive...,0.522,NEGATIVE,0.97,0.513,NEGATIVE,0.827
08/30/2024,Migration Observatory,Work visas and migrant workers in the UK,https://migrationobservatory.ox.ac.uk/resources/briefings/work-visas-and-migrant-workers-in-the-uk/,"This briefing examines labour migration and work visas in the UK immigration system, before and after the implementation of the post-Brexit immigration system.",0.504,NEGATIVE,0.628,0.51,NEGATIVE,0.59
08/06/2024,NHS Employers,Skilled worker: Health and Care Visa,https://www.nhsemployers.org/articles/skilled-worker-health-and-care-visa,Read about the Health and Care Visa for employing overseas nationals (excluding Irish citizens) under the points-based immigration system.,0.505,POSITIVE,0.996,0.502,POSITIVE,0.894
11/21/2024,Anadolu Ajansı,Australia denies former Israeli minister visa because entry could 'incite discord’,https://www.aa.com.tr/en/asia-pacific/australia-denies-former-israeli-minister-visa-because-entry-could-incite-discord-/3400422,Ayelet Shaked had sought visa to attend a security conference in Canberra next week - Anadolu Ajansı.,0.507,NEGATIVE,0.992,0.51,NEGATIVE,0.999
